Title,Tag,URL
Children's news website apologises to JK Rowling over trans tweet row,society,https://www.theguardian.com/society/2020/jul/23/childrens-news-website-apologises-jk-rowling-trans-tweet-day
Harry Potter books prove UK lockdown hit despite JK Rowling trans rights row,business,https://www.theguardian.com/business/2020/jul/21/jk-rowling-book-sales-unaffected-by-transgender-views-row
I forgot how to cry as a man. HRT gave me a range of emotions I never thought possible,lifeandstyle,https://www.theguardian.com/lifeandstyle/2020/jul/20/i-forgot-how-to-cry-as-a-man-hrt-gave-me-a-range-of-emotions-i-never-thought-possible
Trans people twice as likely to be victims of crime in England and Wales,society,https://www.theguardian.com/society/2020/jul/17/trans-people-twice-as-likely-to-be-victims-of-in-england-and-wales
Munroe Bergdorf receives landmark book deal for gender manifesto,books,https://www.theguardian.com/books/2020/jul/17/munroe-bergdorf-receives-landmark-book-deal-for-trans-manifesto
Valentina Sampaio becomes first openly trans model in Sports Illustrated swimsuit issue,world,https://www.theguardian.com/world/2020/jul/13/valentina-sampaio-sports-illustrated-swimsuit-transgender
UK's only trans philosophy professor to JK Rowling: Harry Potter helped me become a woman,education,https://www.theguardian.com/education/2020/jul/11/uks-only-trans-philosophy-professor-to-jk-rowling-harry-potter-helped-me-become-a-woman
The way trans people's rights are discussed is causing them fear and pain,commentisfree,https://www.theguardian.com/commentisfree/2020/jul/09/transgender-people-equal-rights-self-identification-gender-recognition-act
Halle Berry drops out of trans role after protests over misgendering,film,https://www.theguardian.com/film/2020/jul/07/halle-berry-drops-out-of-trans-role-after-protests-over-misgendering
'Tough but profoundly cathartic': can Disclosure change trans representation on screen?,tv-and-radio,https://www.theguardian.com/tv-and-radio/2020/jul/07/disclosure-trans-tv-film-representation-netflix
Trans rights have been pitted against feminism but we're not enemies,commentisfree,https://www.theguardian.com/commentisfree/2020/jul/07/trans-rights-have-been-pitted-against-feminism-but-were-not-enemies
"Cancellation might feel good, but it's not activism",commentisfree,https://www.theguardian.com/commentisfree/2020/jul/03/cancellation-activism-persuasion-cancel-culture-twitter
Some small businesses can't get past their own prejudice. Let them fold,business,https://www.theguardian.com/business/2020/jul/03/supreme-court-ruling-lgbtq-small-business
