Title,Tag,URL
Britain is hurtling towards lockdown by stealth – so Rishi Sunak had better act fast,commentisfree,https://www.theguardian.com/commentisfree/2021/dec/16/britain-lockdown-by-stealth-rishi-sunak
"Tories, look in the mirror: hasn’t the price of being humiliated by Johnson become too high?",commentisfree,https://www.theguardian.com/commentisfree/2021/dec/10/tories-humiliated-boris-johnson-prime-minister
"After the murder of Arthur Labinjo-Hughes, time to focus on children still at risk",commentisfree,https://www.theguardian.com/commentisfree/2021/dec/06/lockdown-arthur-labinjo-hughes-failed-social-services
"The Observer's faces of 2021  Kathleen Stock: ‘On social media, the important thing is to show your tribe that you have the right morals’",uk-news,https://www.theguardian.com/uk-news/2021/dec/05/kathleen-stock-interview-university-sussex-transgender-headlines-2021
"If further Covid restrictions are needed, the debate could get uglier this time",commentisfree,https://www.theguardian.com/commentisfree/2021/dec/02/omicron-restrictions-prejudice-against-unvaccinated-people-virus
Best books of 2021  The best politics books of 2021,books,https://www.theguardian.com/books/2021/dec/02/the-best-politics-books-of-2021
Politics Weekly  Boris Johnson’s battle to save Christmas: Politics Weekly podcast,politics,https://www.theguardian.com/politics/audio/2021/dec/01/boris-johnsons-battle-to-save-christmas-politics-weekly-podcast
Book of the day  Both/And by Huma Abedin review – an innocent at the heart of power,books,https://www.theguardian.com/books/2021/nov/27/bothand-by-huma-abedin-review-an-innocent-at-the-heart-of-power
Twenty-seven dead in the icy Channel. This must be the spur for change,commentisfree,https://www.theguardian.com/commentisfree/2021/nov/25/channel-crossing-must-be-spur-for-change
"Where politicians are failing to act on Peng Shuai, angry athletes are taking a stand",commentisfree,https://www.theguardian.com/commentisfree/2021/nov/22/politicians-failing-peng-shuai-angry-athletes-taking-a-stand
"While Liverpool called for calm, Priti Patel exploited the terror incident for political gain",commentisfree,https://www.theguardian.com/commentisfree/2021/nov/18/priti-patel-liverpool-terror-incident
"Be it pandemic or Paterson, Johnson is showing he’s still in thrall to the Brexiteers",commentisfree,https://www.theguardian.com/commentisfree/2021/nov/12/pandemic-paterson-johnson-brexiteers-tory-mps
"If we ban second jobs for MPs now, we’ll soon wonder how they were ever allowed",commentisfree,https://www.theguardian.com/commentisfree/2021/nov/08/ban-second-jobs-for-mps-revamp-employment-terms
The British army has serious questions to answer about the alleged killing of Agnes Wanjiru,commentisfree,https://www.theguardian.com/commentisfree/2021/nov/04/british-army-serious-questions-alleged-killing-agnes-wanjiru
Stella Creasy on her lonely maternity cover battle: ‘Women should be able to have kids and do politics’,politics,https://www.theguardian.com/politics/2021/oct/30/stella-creasy-lonely-maternity-cover-battle-women-should-be-able-have-kids-do-politics
The Tories know that the NHS timebomb means taxes must rise further still,commentisfree,https://www.theguardian.com/commentisfree/2021/oct/29/tories-know-nhs-timebomb-taxes-rise-further
Young women are sick of being told to stick together and watch their drinks,commentisfree,https://www.theguardian.com/commentisfree/2021/oct/21/young-women-drinks-night-out-spiked-male-violence
Book of the day  Orwell’s Roses by Rebecca Solnit review – deadheading with the writer and thinker,books,https://www.theguardian.com/books/2021/oct/19/orwells-roses-by-rebecca-solnit-review-george-orwell-in-the-garden
Today in Focus  The killing of MP David Amess,news,https://www.theguardian.com/news/audio/2021/oct/19/the-killing-of-mp-david-amess-podcast
Cream teas at dawn: inside the war for the National Trust,uk-news,https://www.theguardian.com/uk-news/2021/oct/16/cream-teas-at-dawn-inside-the-war-for-the-national-trust
GPs have become the new fall guys for government failures,commentisfree,https://www.theguardian.com/commentisfree/2021/oct/15/gps-fall-guys-government-failures-tory-press-sajid-javid-carers
Politics Weekly  Crises continue as Johnson holidays in Spain: Politics Weekly podcast,politics,https://www.theguardian.com/politics/audio/2021/oct/13/crises-continue-as-johnson-holidays-in-spain-politics-weekly-podcast
Britain’s energy crisis is spiralling – but all we get is a spat between ministers,commentisfree,https://www.theguardian.com/commentisfree/2021/oct/11/britain-energy-crisis-ministers-industries
The Tories have become the party of optimists. Labour needs its own story,commentisfree,https://www.theguardian.com/commentisfree/2021/oct/07/tories-party-optimists-labour-opposition
Finn Mackay: the writer hoping to help end the gender wars,lifeandstyle,https://www.theguardian.com/lifeandstyle/2021/oct/05/finn-mackay-the-writer-hoping-to-help-end-the-gender-wars
Slamming the cell door on Wayne Couzens won’t fix women’s fragile faith in the police,commentisfree,https://www.theguardian.com/commentisfree/2021/sep/30/wayne-couzens-sarah-everard-women-faith-police
"The UK’s petrol crisis is just a taste of a more jittery, uncertain future",commentisfree,https://www.theguardian.com/commentisfree/2021/sep/27/petrol-crisis-british-economy-covid-brexit
"We have to insulate Britain, but M25 protests don’t make the case for it",commentisfree,https://www.theguardian.com/commentisfree/2021/sep/24/insulate-britain-m25-protests-homes-warmer
Johnson is reshuffling away from culture wars to firm up the commuter belt,commentisfree,https://www.theguardian.com/commentisfree/2021/sep/16/boris-johnson-reshuffle-culture-wars-commuter-belt-voters
Coronavirus live  UK and EU urged to stop blocking vaccine patent waiver – as it happened,world,https://www.theguardian.com/world/live/2021/sep/13/coronavirus-live-news-south-africa-eases-restrictions-philippines-facing-learning-crisis-says-unicef
Lockdown has made UK families reconsider the cost of childcare – and they’re furious,commentisfree,https://www.theguardian.com/commentisfree/2021/sep/13/lockdown-families-childcare-furious-system-expensive
Are you office ready as WFH comes to an end?,business,https://www.theguardian.com/business/2021/sep/05/are-you-office-ready-as-wfh-comes-to-an-end
The white supremacist student sentenced to read Austen and Dickens fits a grim pattern,commentisfree,https://www.theguardian.com/commentisfree/2021/sep/02/ben-john-white-supremacist-austen-grim-pattern-online-radicalisation-covid
What a story to tell the world: Britain values dogs more than Afghan people,commentisfree,https://www.theguardian.com/commentisfree/2021/aug/30/britain-dogs-afghan-people-pen-farthing
Britain’s key workers can’t take any more. They deserve better than this,commentisfree,https://www.theguardian.com/commentisfree/2021/aug/27/saving-britain-disaster-public-sector-workers-help-autumn
Whatever Next? How a middle-of-the-road high-street chain became a retail powerhouse,lifeandstyle,https://www.theguardian.com/lifeandstyle/2021/aug/17/whatever-next-how-a-middle-of-the-road-high-street-chain-became-a-retail-powerhouse
Imagination is key to the revival of Britain’s seaside towns,commentisfree,https://www.theguardian.com/commentisfree/2021/aug/13/imagination-key-revival-of-britains-seaside-towns-banksy-norfolk
Politics Weekly  Is Angela Rayner gunning to be Labour leader? Politics Weekly podcast,politics,https://www.theguardian.com/politics/audio/2021/aug/11/is-angela-rayner-gunning-to-be-labour-leader-politics-weekly-podcast
Elegantly wasted: has lockdown made booze dangerously aspirational?,food,https://www.theguardian.com/food/2021/aug/10/elegantly-wasted-has-lockdown-made-booze-dangerously-aspirational
Parenting guru Emily Oster: ‘My kids watch TV every night – everybody needs downtime’,lifeandstyle,https://www.theguardian.com/lifeandstyle/2021/aug/07/parenting-guru-emily-oster-my-kids-watch-tv-every-night-everybody-needs-downtime
Johnson’s muddle over Covid is a foretaste of his thinking on climate change. Be afraid,commentisfree,https://www.theguardian.com/commentisfree/2021/aug/06/johnson-muddle-covid-climate-change-no-plan-b
The ‘cash for access’ revelations mean a veil of secrecy around Prince Charles must be lifted,commentisfree,https://www.theguardian.com/commentisfree/2021/aug/02/prince-charles-cash-access-tory-party-chair
"Sexual abuse in sport  


  We’re slowly discovering the murky side of elite sport – thanks to women speaking out",global,https://www.theguardian.com/global/commentisfree/2021/jul/30/murky-elite-sport-women-tokyo-games-abuse-sexualisation
"For all our sakes, let’s hope Jeff Bezos’s space trip is just a midlife crisis",commentisfree,https://www.theguardian.com/commentisfree/2021/jul/22/jeff-bezos-space-trip-midlife-crisis-amazon
There will be blood: women on the shocking truth about periods and perimenopause,society,https://www.theguardian.com/society/2021/jul/22/there-will-be-blood-women-on-the-shocking-truth-about-periods-and-perimenopause
